Index,X,Y,Z,E
4743,7100,8216,880,48394
4744,7328,8445,880,48410
4745,7557,8674,880,48427
4746,7455,8682,880,48433
4747,7684,8453,880,48449
4748,7912,8224,880,48465
4749,7921,8082,880,48475
4750,8046,8257,880,48488
4751,8274,8486,880,48504
4752,8488,8699,880,48519
4753,8429,8613,880,48527
4754,8657,8384,880,48543
4755,8904,8209,880,48555
4756,9128,8435,880,48571
4757,9370,8577,880,48583
4758,9598,8348,880,48600
4759,9841,8242,880,48612
4760,10070,8471,880,48629
4761,10313,8540,880,48641
4762,10540,8311,880,48657
4763,10783,8279,880,48669
4764,11012,8508,880,48685
4765,11255,8503,880,48698
4766,11483,8274,880,48714
4767,11673,8078,880,48728
4768,11638,8229,880,48737
4769,11867,8458,880,48753
4770,12096,8687,880,48769
4771,12001,8661,880,48775
4772,12230,8432,880,48792
4773,12458,8203,880,48808
4774,12425,8081,880,48817
4775,12585,8270,880,48830
4776,12813,8498,880,48847
4777,13033,8718,880,48862
4778,12947,8620,880,48869
4779,13175,8391,880,48886
4780,13404,8163,880,48902
4781,13306,8085,880,48908
4782,13530,8310,880,48924
4783,13758,8539,880,48940
4784,13917,8722,880,48953
4785,13882,8589,880,48963
4786,13984,8311,880,48972
4787,13758,8085,880,48988
4788,13850,8171,880,48995
4789,13621,8400,880,49011
4790,13393,8628,880,49028
4791,13484,8717,880,49034
4792,13267,8499,880,49050
4793,13039,8270,880,49066
4794,12876,8082,880,49079
4795,12904,8211,880,49088
4796,12677,8440,880,49104
4797,12448,8669,880,49121
4798,12550,8687,880,49126
4799,12321,8458,880,49143
4800,12093,8229,880,49159
4801,12068,8082,880,49170
4802,11959,8252,880,49182
4803,11730,8481,880,49198
4804,11518,8694,880,49213
4805,11565,8607,880,49221
4806,11337,8378,880,49238
4807,11093,8212,880,49250
4808,10865,8440,880,49266
4809,10623,8570,880,49279
4810,10395,8341,880,49295
4811,10152,8249,880,49307
4812,9923,8477,880,49323
4813,9681,8533,880,49335
4814,9453,8304,880,49352
4815,9210,8284,880,49364
4816,8982,8513,880,49381
4817,8740,8497,880,49393
4818,8512,8268,880,49409
4819,8332,8079,880,49422
4820,8354,8236,880,49431
4821,8126,8465,880,49448
4822,7897,8694,880,49464
4823,7992,8654,880,49471
4824,7763,8425,880,49487
4825,7535,8196,880,49503
4826,7586,8082,880,49511
4827,7408,8276,880,49525
4828,7180,8505,880,49542
4829,6961,8723,880,49557
4830,7056,8623,880,49564
4831,6827,8394,880,49580
4832,6598,8166,880,49596
4833,6691,8088,880,49603
4834,6464,8316,880,49619
4835,6236,8545,880,49636
4836,6092,8722,880,49648
4837,6112,8584,880,49657
4838,6026,8300,880,49667
4839,6250,8083,880,49683
4840,7079,8256,880,49683
4841,8026,8454,880,49683
4842,8715,8608,880,49684
4843,8431,8733,880,49700
4844,8108,8733,880,49716
4845,7784,8733,880,49732
4846,7461,8733,880,49749
4847,7137,8733,880,49765
4848,6814,8733,880,49781
4849,6491,8733,880,49798
4850,6167,8733,880,49814
4851,5984,8616,880,49829
4852,5984,8293,880,49845
4853,6056,8067,880,49860
4854,6380,8067,880,49876
4855,6703,8067,880,49892
4856,7027,8067,880,49909
4857,7350,8067,880,49925
4858,7673,8067,880,49942
4859,7997,8067,880,49958
4860,8320,8067,880,49974
4861,8611,8160,880,49990
4862,8929,8194,880,50007
4863,9253,8194,880,50023
4864,9576,8194,880,50039
4865,9900,8194,880,50056
4866,10223,8194,880,50072
4867,10547,8194,880,50088
4868,10870,8194,880,50105
4869,11193,8194,880,50121
4870,11497,8102,880,50137
4871,11803,8067,880,50153
4872,12126,8067,880,50170
4873,12450,8067,880,50186
4874,12773,8067,880,50203
4875,13097,8067,880,50219
4876,13420,8067,880,50236
4877,13744,8067,880,50252
4878,14016,8094,880,50267
4879,14016,8418,880,50283
4880,14016,8733,880,50299
4881,13710,8733,880,50315
4882,13386,8733,880,50331
4883,13063,8733,880,50347
4884,12739,8733,880,50364
4885,12416,8733,880,50380
4886,12092,8733,880,50396
4887,11769,8733,880,50413
4888,11469,8680,880,50429
4889,11160,8606,880,50445
4890,10837,8606,880,50461
4891,10513,8606,880,50478
4892,10190,8606,880,50494
4893,9866,8606,880,50510
4894,9543,8606,880,50527
4895,9219,8606,880,50543
4896,8896,8606,880,50559
4897,8688,8649,880,50570
4898,8540,8713,880,50579
4899,8395,8765,880,50587
4900,8233,8765,880,50595
4901,8071,8765,880,50603
4902,7909,8765,880,50611
4903,7747,8765,880,50620
4904,7585,8765,880,50628
4905,7423,8765,880,50636
4906,7260,8765,880,50644
